fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
5080,2.6.2,94,45.91.124.33,4,45.91.124.33,172.16.4.132,ICMP,56.0,48,"[{'rtt': 16.50425}, {'rtt': 16.561374999999998}, {'rtt': 16.2005}]",0,3,3,16.2005,16.561374999999998,16.4220416667,53759724,50036,2023-05-15 18:49:38,Ping,85.195.240.63,ping,53759724,,1684176578
5080,2.6.2,105,45.91.124.33,4,45.91.124.33,192.168.178.36,ICMP,57.0,48,"[{'rtt': 46.129083}, {'rtt': 46.817042}, {'rtt': 46.169417}]",0,3,3,46.129083,46.817042,46.3718473333,53759724,50039,2023-05-15 18:49:39,Ping,146.19.52.151,ping,53759724,,1684176579
5080,2.6.2,114,45.91.124.33,4,45.91.124.33,192.168.0.2,ICMP,53.0,48,"[{'rtt': 226.962792}, {'rtt': 228.344167}, {'rtt': 227.928958}]",0,3,3,226.962792,228.344167,227.7453056667,53759724,50041,2023-05-15 18:49:47,Ping,200.125.74.161,ping,53759724,,1684176588
5080,2.6.2,100,45.91.124.33,4,45.91.124.33,194.24.163.5,ICMP,50.0,48,"[{'rtt': 19.50575}, {'rtt': 19.122625}, {'rtt': 19.190042}]",0,3,3,19.122625,19.50575,19.2728056667,53759724,50043,2023-05-15 18:49:39,Ping,194.24.163.5,ping,53759724,,1684176577
5080,2.6.2,101,45.91.124.33,4,45.91.124.33,192.168.1.69,ICMP,50.0,48,"[{'rtt': 71.784875}, {'rtt': 71.653542}, {'rtt': 71.605208}]",0,3,3,71.605208,71.784875,71.6812083333,53759724,50044,2023-05-15 18:49:38,Ping,109.252.61.27,ping,53759724,,1684176578
5080,2.6.2,15,45.91.124.33,4,45.91.124.33,10.8.7.43,ICMP,50.0,48,"[{'rtt': 45.740333}, {'rtt': 43.933375}, {'rtt': 44.826917}]",0,3,3,43.933375,45.740333,44.8335416667,53759724,50071,2023-05-15 18:49:38,Ping,37.179.153.15,ping,53759724,,1684176579
5080,2.6.2,20,45.91.124.33,4,45.91.124.33,185.56.124.18,ICMP,54.0,48,"[{'rtt': 34.71225}, {'rtt': 34.496125}, {'rtt': 34.347376}]",0,3,3,34.347376,34.71225,34.5185836667,53759724,50074,2023-05-15 18:49:40,Ping,185.56.124.18,ping,53759724,,1684176578
5080,2.6.2,9,45.91.124.33,4,45.91.124.33,10.0.40.133,ICMP,55.0,48,"[{'rtt': 25.478666}, {'rtt': 24.927875}, {'rtt': 25.11725}]",0,3,3,24.927875,25.478666,25.174597,53759724,50076,2023-05-15 18:49:39,Ping,217.235.223.161,ping,53759724,,1684176579
5080,2.6.2,20,45.91.124.33,4,45.91.124.33,192.168.1.43,ICMP,55.0,48,"[{'rtt': 86.465959}, {'rtt': 85.606167}, {'rtt': 86.202417}]",0,3,3,85.606167,86.465959,86.0915143333,53759724,50078,2023-05-15 18:49:40,Ping,108.18.149.65,ping,53759724,,1684176580
5080,2.6.2,24,45.91.124.33,4,45.91.124.33,10.192.2.101,ICMP,51.0,48,"[{'rtt': 251.165625}, {'rtt': 250.601917}, {'rtt': 250.444958}]",0,3,3,250.444958,251.165625,250.7375,53759724,50079,2023-05-15 18:49:51,Ping,164.70.184.226,ping,53759724,,1684176591
5080,2.6.2,10,45.91.124.33,4,45.91.124.33,192.168.1.2,ICMP,48.0,48,"[{'rtt': 51.941334}, {'rtt': 69.195416}, {'rtt': 98.018959}]",0,3,3,51.941334,98.018959,73.051903,53759724,50081,2023-05-15 18:49:37,Ping,109.43.242.39,ping,53759724,,1684176578
