fw,lts,ttr,af,ttl,size,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,group_id,stored_timestamp
5040,4210057,22.639789,4,57.0,48,0,3,3,12.228765,12.303053,12.25868,50949595,1004006,2023-03-15 13:37:54,50949595,1678887471
5040,29,23.825007,4,58.0,48,0,3,3,19.921504,20.640888,20.2045,50949595,1004050,2023-03-15 13:37:50,50949595,1678887471
5080,54,112.140899,4,112.0,48,0,3,3,64.164973,64.188276,64.176772,50949595,1004215,2023-03-15 13:37:50,50949595,1678887471
5040,33,29.227874,4,122.0,48,0,3,3,1.800346,1.8426529999999999,1.8145106667,50949595,1004346,2023-03-15 13:37:50,50949595,1678887470
5060,12,8.193965,4,117.0,48,0,3,3,22.92648,23.374392,23.0828066667,50949595,1004674,2023-03-15 13:37:50,50949595,1678887470
5080,20,42.463076,4,119.0,48,0,3,3,14.920456,15.033115,14.9899483333,50949595,1004908,2023-03-15 13:37:50,50949595,1678887471
5080,1,95.250657,4,120.0,48,0,3,3,26.030392,26.38626,26.2005753333,50949595,1004990,2023-03-15 13:37:50,50949595,1678887471
5080,130,15.460845,4,117.0,48,0,3,3,15.209122,15.337981,15.2789246667,50949595,10052,2023-03-15 13:37:49,50949595,1678887470
5080,32,30.960179,4,119.0,48,0,3,3,8.551969,8.759568999999999,8.6396583333,50949595,1005368,2023-03-15 13:37:50,50949595,1678887470
5080,38,34.428205,4,120.0,48,0,3,3,9.247322,9.591074,9.4137006667,50949595,1005434,2023-03-15 13:37:50,50949595,1678887470
5080,38,27.4053,4,60.0,48,0,3,3,17.764687,19.168946,18.6843906667,50949595,1005489,2023-03-15 13:37:50,50949595,1678887470
5080,22,53.778003,4,118.0,48,0,3,3,5.299529,5.528134,5.393254,50949595,10859,2023-03-15 13:37:50,50949595,1678887471
5080,11,37.433752,4,59.0,48,0,3,3,15.079718,15.099484,15.0873253333,50949595,11448,2023-03-15 13:37:51,50949595,1678887471
5080,100,47.036024,4,120.0,48,0,3,3,9.601268,10.134454999999999,9.7839663333,50949595,11877,2023-03-15 13:37:49,50949595,1678887470
4790,36,59.0,4,118.0,48,0,3,3,12.153602,14.251011,12.9966103333,50949595,1247,2023-03-15 13:37:51,50949595,1678887471
4790,110,59.0,4,115.0,48,0,3,3,3.393792,3.604225,3.4897926667,50949595,1261,2023-03-15 13:37:51,50949595,1678887471
4790,60,59.0,4,56.0,48,0,3,3,22.791173,22.986245,22.891525,50949595,1286,2023-03-15 13:37:49,50949595,1678887470
5080,126,23.815026,4,57.0,48,0,3,3,1.753218,1.807718,1.7837246667,50949595,12932,2023-03-15 13:37:50,50949595,1678887470
5080,19,93.039309,4,116.0,48,0,3,3,23.744532,24.029641,23.8963616667,50949595,13010,2023-03-15 13:37:51,50949595,1678887471
5080,101,24.001178,4,112.0,48,0,3,3,12.637294,12.878331,12.740856,50949595,13068,2023-03-15 13:37:49,50949595,1678887470
5080,22,48.237256,4,57.0,48,0,3,3,2.002639,2.080088,2.0536816667,50949595,13271,2023-03-15 13:37:51,50949595,1678887472
5080,20,36.626723,4,115.0,48,0,3,3,1.129728,1.543438,1.3313996667,50949595,13635,2023-03-15 13:37:50,50949595,1678887470
5080,35,51.055045,4,57.0,48,0,3,3,2.148842,2.174831,2.1587033333,50949595,13982,2023-03-15 13:37:49,50949595,1678887470
4790,43,59.0,4,119.0,48,0,3,3,7.68461,8.298242,7.939586,50949595,1409,2023-03-15 13:37:51,50949595,1678887472
5080,138,41.336097,4,120.0,48,0,3,3,25.306235,27.130119,25.9923006667,50949595,14829,2023-03-15 13:37:50,50949595,1678887472
5080,118,5009.985447,4,120.0,48,0,3,3,0.887675,2.704416,1.5155153333,50949595,15022,2023-03-15 13:37:54,50949595,1678887476
4790,50,59.0,4,116.0,48,0,3,3,11.596035,12.593667,11.935235,50949595,1504,2023-03-15 13:37:50,50949595,1678887471
5080,35,24.602537,4,120.0,48,0,3,3,4.080462,4.120717,4.0962766667,50949595,15051,2023-03-15 13:37:51,50949595,1678887472
5080,23,27.644125,4,120.0,48,0,3,3,5.511674,5.632993,5.5540803333,50949595,15430,2023-03-15 13:37:50,50949595,1678887471
5080,109,21.536869,4,106.0,48,0,3,3,5.512498,5.613073,5.5475113333,50949595,15849,2023-03-15 13:37:51,50949595,1678887472
5080,23,44.692492,4,116.0,48,0,3,3,39.24794,39.520087,39.4199486667,50949595,15873,2023-03-15 13:37:50,50949595,1678887471
5080,28,44.449504,4,117.0,48,0,3,3,37.803388,38.009406,37.9092653333,50949595,16228,2023-03-15 13:37:50,50949595,1678887471
5080,26,44.62864,4,119.0,48,0,3,3,9.13661,9.27181,9.1839183333,50949595,16891,2023-03-15 13:37:49,50949595,1678887470
5080,118,5041.617015,4,60.0,48,0,3,3,7.09511,7.130141,7.1149636667,50949595,17816,2023-03-15 13:37:55,50949595,1678887476
5080,25,221.605655,4,118.0,48,0,3,3,45.099302,45.151838,45.1273056667,50949595,18567,2023-03-15 13:37:50,50949595,1678887472
5080,18,11.703467,4,117.0,48,0,3,3,6.636314,6.703009,6.6751723333,50949595,18673,2023-03-15 13:37:50,50949595,1678887471
5080,114,32.044373,4,119.0,48,0,3,3,3.35559,3.525372,3.412671,50949595,19531,2023-03-15 13:37:50,50949595,1678887471
5080,129,65.427451,4,115.0,48,0,3,3,22.702975,32.076273,25.8555216667,50949595,19690,2023-03-15 13:37:49,50949595,1678887471
4790,223,59.0,4,59.0,48,0,3,3,16.831492,17.786883,17.2538916667,50949595,2044,2023-03-15 13:37:52,50949595,1678887471
5080,8,18.644245,4,118.0,48,0,3,3,1.5693329999999999,1.657897,1.600258,50949595,20706,2023-03-15 13:37:50,50949595,1678887470
5080,15,19.856078,4,121.0,48,0,3,3,4.164288,4.348385,4.2542373333,50949595,20713,2023-03-15 13:37:50,50949595,1678887471
5080,12,13.280909,4,120.0,48,0,3,3,7.540312,7.722177,7.60789,50949595,20715,2023-03-15 13:37:50,50949595,1678887470
5080,27,35.552065,4,119.0,48,0,3,3,9.102785,9.69145,9.4123616667,50949595,21290,2023-03-15 13:37:49,50949595,1678887470
5080,22,34.665628,4,118.0,48,0,3,3,12.440923,12.501923,12.468316,50949595,21296,2023-03-15 13:37:51,50949595,1678887472
5080,17,16.983495,4,57.0,48,0,3,3,2.9252380000000002,3.072121,3.000162,50949595,21457,2023-03-15 13:37:48,50949595,1678887470
5080,29,119.843691,4,55.0,48,0,3,3,47.243051,48.212463,47.6048983333,50949595,21458,2023-03-15 13:37:49,50949595,1678887471
5080,0,15.920887,4,116.0,48,0,3,3,11.676819,13.02136,12.264122,50949595,21529,2023-03-15 13:37:49,50949595,1678887470
5080,120,44.770872,4,106.0,48,0,3,3,47.829265,48.650725,48.159649,50949595,22038,2023-03-15 13:37:50,50949595,1678887472
5080,18,84.963282,4,60.0,48,0,3,3,13.245106,13.294188,13.2658633333,50949595,23076,2023-03-15 13:37:50,50949595,1678887471
5080,25,31.188157,4,119.0,48,0,3,3,14.062467,14.096044,14.075918,50949595,23193,2023-03-15 13:37:50,50949595,1678887470
5080,119,19.803446,4,121.0,48,0,3,3,1.6811289999999999,5.389444,3.943349,50949595,23214,2023-03-15 13:37:50,50949595,1678887470
5080,3,49.846681,4,113.0,48,0,3,3,105.46181,105.760966,105.5659053333,50949595,23318,2023-03-15 13:37:49,50949595,1678887471
5080,32,26.638792,4,120.0,48,0,3,3,11.952329,12.23218,12.0857513333,50949595,24859,2023-03-15 13:37:50,50949595,1678887471
5080,139,12.686995,4,109.0,48,0,3,3,17.094649,17.35773,17.2008843333,50949595,24903,2023-03-15 13:37:50,50949595,1678887471
5080,133,5013.882152,4,121.0,48,0,3,3,1.414877,1.4558740000000001,1.431581,50949595,24906,2023-03-15 13:37:55,50949595,1678887475
